  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
   392,     P-992,   2025/07/26 17:19:00,Picarro_Sample_Tray-116,       2,              ,              ,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,Picarro_Sample_Tray,     116,       5,    UBC_01,       0,       1
   393,     P-993,   2025/07/26 17:29:21,Picarro_Sample_Tray-83,       1,        -6.802,       -12.790,      -109.307,        -0.029,         12627,      -1,    1,                                        ,                                        ,                 H2O, 1753576436.42,         0.181,         0.174,         0.579,         0.138,        78.441,        -0.000,         0.002,         1.308,        49.901,        26.447,         0.666,        45.286,         0.940,        -0.100,       -0.0000,       -0.0000,    0,        41.125,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   394,     P-993,   2025/07/26 17:38:22,Picarro_Sample_Tray-83,       2,        -6.701,       -12.633,      -107.935,        -0.011,         12234,      -1,    1,                                        ,                                        ,                 H2O, 1753576976.95,         0.181,         0.155,         0.603,         0.141,        79.066,         0.000,        -0.000,         1.327,        48.093,        25.619,         0.658,        43.695,         0.942,        -0.161,        0.0000,       -0.0000,    0,        41.000,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   395,     P-993,   2025/07/26 17:47:22,Picarro_Sample_Tray-83,       3,        -6.696,       -12.602,      -107.481,        -0.023,         12291,      -1,    1,                                        ,                                        ,                 H2O, 1753577517.82,         0.202,         0.166,         0.705,         0.163,        81.659,         0.000,         0.001,         1.372,        48.304,        25.504,         0.668,        44.694,         0.944,        -0.077,        0.0000,        0.0000,    0,        41.000,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   396,     P-993,   2025/07/26 17:56:23,Picarro_Sample_Tray-83,       4,        -6.751,       -12.639,      -107.443,        -0.058,         12306,       0,    1,                                        ,                                        ,                 H2O, 1753578057.59,         0.178,         0.156,         0.604,         0.144,        82.517,         0.000,        -0.001,         1.386,        48.333,        25.654,         0.653,        44.439,         0.941,        -0.101,        0.0000,        0.0000,    0,        41.000,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   397,     P-993,   2025/07/26 18:05:23,Picarro_Sample_Tray-83,       5,        -6.717,       -12.586,      -107.333,        -0.051,         12301,       0,    1,                                        ,                                        ,                 H2O, 1753578597.34,         0.187,         0.167,         0.674,         0.146,        83.945,        -0.000,        -0.001,         1.402,        48.347,        25.646,         0.664,        44.400,         0.941,        -0.097,        0.0000,        0.0000,    0,        41.062,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   398,     P-993,   2025/07/26 18:14:23,Picarro_Sample_Tray-83,       6,        -6.712,       -12.599,      -107.258,        -0.040,         12289,       0,    1,                                        ,                                        ,                 H2O, 1753579138.11,         0.173,         0.163,         0.613,         0.138,        83.649,        -0.000,        -0.001,         1.411,        48.244,        25.678,         0.655,        44.335,         0.941,        -0.091,       -0.0000,       -0.0000,    0,        41.000,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   399,     P-993,   2025/07/26 18:23:24,Picarro_Sample_Tray-83,       7,        -6.699,       -12.594,      -107.247,        -0.030,         12254,       0,    1,                                        ,                                        ,                 H2O, 1753579679.05,         0.211,         0.191,         0.712,         0.146,        85.245,        -0.000,         0.000,         1.421,        48.087,        25.511,         0.673,        44.576,         0.942,        -0.047,       -0.0000,       -0.0000,    0,        41.000,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   400,     P-993,   2025/07/26 18:32:24,Picarro_Sample_Tray-83,       8,        -6.722,       -12.606,      -107.310,        -0.046,         12327,       0,    1,                                        ,                                        ,                 H2O, 1753580219.61,         0.193,         0.172,         0.672,         0.147,        85.975,         0.000,        -0.000,         1.437,        48.385,        25.916,         0.672,        44.306,         0.942,        -0.113,       -0.0000,       -0.0000,    0,        40.812,Picarro_Sample_Tray,      83,       1,    UBC_01,       0,       1
   401,     P-993,   2025/07/26 18:41:25,Picarro_Sample_Tray-83,       9,        -6.695,       -12.591,      -107.204,        -0.027,         12293,       0,    1,                                        ,                                        ,                 H2O, 1753580760.42,         0.186,         0.175,         0.601,         0.140,        85.225,         0.000,        -0.001,         1.432,        48.310,        25.703,         0.654,        44.028,         0.942,        -0.143,       -0.0000,       -0.0000,    0,        40.750,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   402,     P-993,   2025/07/26 18:50:25,Picarro_Sample_Tray-83,      10,        -6.730,       -12.611,      -107.234,        -0.052,         12287,       0,    1,                                        ,                                        ,                 H2O, 1753581300.01,         0.207,         0.183,         0.701,         0.153,        86.986,         0.000,         0.001,         1.460,        48.190,        25.727,         0.671,        44.341,         0.942,        -0.053,       -0.0000,       -0.0000,    0,        40.625,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   403,     P-993,   2025/07/26 18:59:25,Picarro_Sample_Tray-83,      11,        -6.708,       -12.582,      -107.167,        -0.045,         12290,       0,    1,                                        ,                                        ,                 H2O, 1753581839.30,         0.177,         0.175,         0.651,         0.136,        85.402,         0.000,        -0.001,         1.438,        48.277,        25.648,         0.657,        44.249,         0.943,        -0.104,       -0.0000,        0.0000,    0,        40.562,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   404,     P-993,   2025/07/26 19:08:25,Picarro_Sample_Tray-83,      12,        -6.732,       -12.599,      -107.133,        -0.060,         12287,       0,    1,                                        ,                                        ,                 H2O, 1753582379.48,         0.201,         0.172,         0.654,         0.156,        87.336,         0.000,         0.001,         1.467,        48.199,        25.581,         0.668,        44.676,         0.941,        -0.017,       -0.0000,       -0.0000,    0,        40.562,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   405,     P-993,   2025/07/26 19:17:25,Picarro_Sample_Tray-83,      13,        -6.713,       -12.578,      -107.153,        -0.053,         12290,       0,    1,                                        ,                                        ,                 H2O, 1753582920.10,         0.198,         0.177,         0.558,         0.152,        86.344,         0.000,         0.001,         1.462,        48.291,        25.513,         0.654,        44.510,         0.940,        -0.108,       -0.0000,        0.0000,    0,        40.500,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   406,     P-993,   2025/07/26 19:26:25,Picarro_Sample_Tray-83,      14,        -6.709,       -12.588,      -107.196,        -0.043,         12318,       0,    1,                                        ,                                        ,                 H2O, 1753583460.50,         0.192,         0.174,         0.634,         0.154,        88.585,         0.000,         0.001,         1.489,        48.402,        25.769,         0.667,        44.227,         0.940,        -0.119,        0.0000,       -0.0000,    0,        40.438,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   407,     P-993,   2025/07/26 19:35:26,Picarro_Sample_Tray-83,      15,        -6.695,       -12.562,      -107.266,        -0.043,         12270,       0,    1,                                        ,                                        ,                 H2O, 1753584000.97,         0.196,         0.179,         0.669,         0.151,        87.176,         0.000,         0.001,         1.469,        48.243,        25.764,         0.664,        43.507,         0.941,        -0.274,        0.0000,        0.0000,    0,        40.438,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   408,     P-993,   2025/07/26 19:44:26,Picarro_Sample_Tray-83,      16,        -6.708,       -12.579,      -107.079,        -0.047,         12307,       0,    1,                                        ,                                        ,                 H2O, 1753584541.93,         0.185,         0.165,         0.645,         0.149,        86.275,         0.000,         0.000,         1.456,        48.313,        25.593,         0.660,        44.756,         0.940,        -0.038,       -0.0000,       -0.0000,    0,        40.438,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   409,     P-993,   2025/07/26 19:53:26,Picarro_Sample_Tray-83,      17,        -6.721,       -12.592,      -107.123,        -0.053,         12319,       0,    1,                                        ,                                        ,                 H2O, 1753585081.64,         0.192,         0.175,         0.661,         0.145,        86.582,         0.000,        -0.001,         1.461,        48.381,        25.669,         0.663,        44.525,         0.941,        -0.065,        0.0000,        0.0000,    0,        40.438,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
