Inj_Nr,d(17_16)Mean_fmem,d(18_16)Mean_fmem,d(D_H)Mean_fmem,Inj_Nr
1,0.038517503847752155,0.03810079129730688,0.07978083129242286,1.0
2,0.015388332959550048,0.014357305042514486,0.03167026195635224,2.0
3,0.00885061024799245,0.010602455165724983,0.021412077769643,3.0
4,0.00971772668993841,0.00919802956242632,0.01689369370984488,4.0
5,0.007840538728873848,0.007729476876615109,0.014199148866115329,5.0
6,0.008149099971114435,0.007755244333515706,0.012280345930664755,6.0
7,0.0,0.003785280116610911,0.010451592625030268,7.0
8,0.0,0.004532639624149346,0.008753262061866458,8.0
9,0.0,0.0039244554611893336,0.007918250148755607,9.0
10,0.0,0.0,0.007192845689472482,10.0
11,0.0,0.002985509813055309,0.006267471450717289,11.0
12,0.0,0.0,0.005608799562496188,12.0
13,0.0,0.0,0.0056683714561588435,13.0
14,0.0,0.0,0.004830484110817253,14.0
15,0.0,0.0,0.0049647325195207375,15.0
16,0.0,0.0,0.0039494240610084275,16.0
17,0.0,0.0,0.004339261996184472,17.0
18,0.0,0.003141594350969416,0.003934576631916701,18.0
19,0.0,0.0,0.004266529188246718,19.0
20,0.0,0.0,0.0037553708917725873,20.0
21,0.0,0.0,0.0030767552768445144,21.0
22,0.0,0.0,0.002819007846515257,22.0
23,0.0,0.0,0.0030866926839895567,23.0
24,0.0,0.0,0.0025366171595635457,24.0
25,0.0,0.0,0.0020752632422577208,25.0
26,0.0,0.0,0.0020180028533288547,26.0
27,0.0,0.0,0.0023806537276939545,27.0
28,0.0,0.0,0.001708369519302837,28.0
29,0.0,0.0,0.0013860688129223948,29.0
30,0.0,0.0,0.0016526769961140934,30.0
31,0.0,0.0,0.0013353888298945095,31.0
32,0.0,0.0,0.0008413664742913359,32.0
33,0.0,0.0,0.0009341146917709813,33.0
34,0.0,0.0,0.0,34.0
35,0.0,0.0,0.0,35.0
36,0.0,0.0,0.0,36.0
37,0.0,0.0,0.0,37.0
38,0.0,0.0,0.0,38.0
39,0.0,0.0,0.0,39.0
40,0.0,0.0,0.0,40.0
41,,,,41.0
42,,,,42.0
